Drug_ID,Protein_ID
DB09130,2157
DB09130,2153
DB09140,3040
DB00180,866
DB00240,866
DB00253,866
DB00324,866
DB00394,866
DB00443,866
DB00588,866
DB00591,866
DB00596,866
DB00620,866
DB00635,866
DB00648,866
DB00663,866
DB00687,866
DB00741,866
DB00846,866
DB00860,866
DB00896,866
DB01013,866
DB01047,866
DB01222,866
DB01384,866
DB01410,866
DB08906,866
DB09124,866
DB13867,866
DB14538,866
DB14539,866
DB14540,866
DB14541,866
DB14542,866
DB14543,866
DB14544,866
DB14631,866
DB14669,866
DB15566,866
DB09479,486
DB00162,5949
DB06755,5949
DB00163,23541
DB00162,5947
DB06755,5947
DB00162,5950
DB03917,5950
DB05076,5950
DB06755,5950
DB06985,5950
DB00255,7276
DB00279,7276
DB00451,7276
DB00586,7276
DB00861,7276
DB01093,7276
DB01583,7276
DB01645,7276
DB01751,7276
DB01838,7276
DB02179,7276
DB02266,7276
DB02417,7276
DB02698,7276
DB02709,7276
DB03167,7276
DB03239,7276
DB03346,7276
DB03682,7276
DB04474,7276
DB04674,7276
DB04756,7276
DB06885,7276
DB06907,7276
DB06935,7276
DB07047,7276
DB07176,7276
DB07201,7276
DB07240,7276
DB07282,7276
DB07693,7276
DB07694,7276
DB07695,7276
DB07753,7276
DB07775,7276
DB07962,7276
DB07963,7276
DB08100,7276
DB08101,7276
DB08102,7276
DB08103,7276
DB08104,7276
DB08205,7276
DB08206,7276
DB08207,7276
DB00163,266629
DB00200,6948
DB13751,1109
DB09270,3949
DB00162,5948
DB06755,5948
DB00523,1381
DB00926,1381
DB04942,1381
DB01294,7018
DB05260,7018
DB11136,7018
DB11182,7018
DB13949,7018
DB14520,7018
DB14526,7018
DB14527,7018
DB14528,7018
DB14529,7018
DB14530,7018
DB00104,213
DB00126,213
DB00137,213
DB00152,213
DB00159,213
DB00162,213
DB00165,213
DB00214,213
DB00220,213
DB00227,213
DB00228,213
DB00237,213
DB00238,213
DB00245,213
DB00246,213
DB00252,213
DB00264,213
DB00266,213
DB00273,213
DB00274,213
DB00278,213
DB00279,213
DB00289,213
DB00294,213
DB00295,213
DB00304,213
DB00310,213
DB00313,213
DB00316,213
DB00317,213
DB00321,213
DB00327,213
DB00328,213
DB00332,213
DB00333,213
DB00334,213
DB00335,213
DB00343,213
DB00404,213
DB00412,213
DB00414,213
DB00415,213
DB00421,213
DB00430,213
DB00432,213
DB00443,213
DB00451,213
DB00454,213
DB00456,213
DB00458,213
DB00459,213
DB00461,213
DB00472,213
DB00476,213
DB00477,213
DB00481,213
DB00490,213
DB00495,213
DB00497,213
DB00500,213
DB00503,213
DB00512,213
DB00515,213
DB00530,213
DB00537,213
DB00540,213
DB00544,213
DB00554,213
DB00555,213
DB00557,213
DB00563,213
DB00567,213
DB00571,213
DB00573,213
DB00575,213
DB00576,213
DB00584,213
DB00586,213
DB00595,213
DB00598,213
DB00603,213
DB00605,213
DB00607,213
DB00608,213
DB00619,213
DB00620,213
DB00624,213
DB00625,213
DB00635,213
DB00649,213
DB00655,213
DB00661,213
DB00675,213
DB00677,213
DB00678,213
DB00682,213
DB00687,213
DB00695,213
DB00709,213
DB00712,213
DB00714,213
DB00717,213
DB00731,213
DB00734,213
DB00737,213
DB00743,213
DB00744,213
DB00749,213
DB00753,213
DB00755,213
DB00759,213
DB00762,213
DB00768,213
DB00774,213
DB00776,213
DB00783,213
DB00784,213
DB00787,213
DB00788,213
DB00802,213
DB00808,213
DB00813,213
DB00814,213
DB00815,213
DB00818,213
DB00829,213
DB00842,213
DB00845,213
DB00847,213
DB00852,213
DB00857,213
DB00860,213
DB00861,213
DB00864,213
DB00870,213
DB00878,213
DB00879,213
DB00881,213
DB00900,213
DB00903,213
DB00908,213
DB00912,213
DB00924,213
DB00931,213
DB00936,213
DB00938,213
DB00943,213
DB00946,213
DB00950,213
DB00951,213
DB00957,213
DB00959,213
DB00977,213
DB00982,213
DB00983,213
DB00993,213
DB00995,213
DB00997,213
DB00999,213
DB01006,213
DB01009,213
DB01013,213
DB01015,213
DB01016,213
DB01026,213
DB01029,213
DB01032,213
DB01039,213
DB01044,213
DB01045,213
DB01050,213
DB01053,213
DB01056,213
DB01057,213
DB01060,213
DB01062,213
DB01067,213
DB01068,213
DB01069,213
DB01072,213
DB01076,213
DB01098,213
DB01104,213
DB01110,213
DB01115,213
DB01118,213
DB01120,213
DB01124,213
DB01126,213
DB01132,213
DB01133,213
DB01136,213
DB01137,213
DB01142,213
DB01147,213
DB01159,213
DB01169,213
DB01183,213
DB01189,213
DB01195,213
DB01197,213
DB01212,213
DB01222,213
DB01232,213
DB01234,213
DB01235,213
DB01236,213
DB01238,213
DB01241,213
DB01242,213
DB01264,213
DB01275,213
DB01294,213
DB01320,213
DB01324,213
DB01327,213
DB01328,213
DB01329,213
DB01330,213
DB01364,213
DB01370,213
DB01394,213
DB01396,213
DB01397,213
DB01418,213
DB01420,213
DB01581,213
DB01582,213
DB01583,213
DB01587,213
DB01601,213
DB01611,213
DB01614,213
DB01621,213
DB01622,213
DB01623,213
DB01685,213
DB01914,213
DB02709,213
DB03017,213
DB03193,213
DB03585,213
DB03600,213
DB03796,213
DB04216,213
DB04224,213
DB04539,213
DB04557,213
DB04574,213
DB04690,213
DB04711,213
DB04816,213
DB04828,213
DB04855,213
DB04861,213
DB04911,213
DB04951,213
DB05134,213
DB05294,213
DB05382,213
DB05521,213
DB05812,213
DB06119,213
DB06201,213
DB06209,213
DB06216,213
DB06282,213
DB06290,213
DB06412,213
DB06480,213
DB06705,213
DB06710,213
DB06716,213
DB06796,213
DB07402,213
DB07517,213
DB07565,213
DB07992,213
DB08231,213
DB08496,213
DB08735,213
DB08736,213
DB08814,213
DB08816,213
DB08820,213
DB08828,213
DB08860,213
DB08864,213
DB08867,213
DB08881,213
DB08893,213
DB08895,213
DB08899,213
DB08931,213
DB08932,213
DB09053,213
DB09073,213
DB09079,213
DB09087,213
DB09093,213
DB09124,213
DB09130,213
DB09139,213
DB09195,213
DB09204,213
DB09213,213
DB09223,213
DB09229,213
DB09236,213
DB09237,213
DB09241,213
DB09262,213
